,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
0,7.4,0.28,0.31,1.9,0.076,0.13157894736842105,0.10526315789473684,0.9978,3.51,0.56,0.2333333333333334,5,0
1,7.8,0.28,0.31,2.6,0.098,0.3157894736842105,0.22932330827067668,0.9968,3.2,0.68,0.3000000000000001,5,0
2,7.8,0.28,0.04,2.3,0.092,0.18421052631578946,0.18045112781954886,0.997,3.26,0.65,0.3000000000000001,5,0
3,6.9,0.28,0.56,1.9,0.075,0.21052631578947367,0.20300751879699247,0.998,3.16,0.58,0.3000000000000001,6,0
4,7.4,0.28,0.31,1.9,0.076,0.13157894736842105,0.10526315789473684,0.9978,3.51,0.56,0.2333333333333334,5,0
5,7.4,0.28,0.31,1.8,0.075,0.15789473684210525,0.12781954887218044,0.9978,3.51,0.56,0.2333333333333334,5,0
6,7.9,0.6,0.06,1.6,0.069,0.18421052631578946,0.19924812030075187,0.9964,3.3,0.46,0.2333333333333334,5,0
7,7.3,0.65,0.31,1.2,0.065,0.18421052631578946,0.05639097744360902,0.9946,3.39,0.47,0.3333333333333333,7,0
8,7.8,0.58,0.31,2.0,0.073,0.10526315789473684,0.045112781954887216,0.9968,3.36,0.57,0.25,7,0
9,7.5,0.5,0.36,6.1,0.071,0.21052631578947367,0.3609022556390977,0.9978,3.35,0.8,0.4166666666666667,5,0
10,6.7,0.58,0.08,1.8,0.097,0.18421052631578946,0.22180451127819548,0.9959,3.28,0.54,0.19999999999999987,5,0
11,7.5,0.5,0.36,6.1,0.071,0.21052631578947367,0.3609022556390977,0.9978,3.35,0.8,0.4166666666666667,5,0
12,5.6,0.615,0.31,1.6,0.089,0.19736842105263158,0.19924812030075187,0.9943,3.58,0.52,0.3166666666666667,5,0
13,7.8,0.61,0.29,1.6,0.046,0.10526315789473684,0.08646616541353383,0.9974,3.26,0.5,0.18333333333333326,5,0
14,8.9,0.62,0.18,3.8,0.046,0.6710526315789473,0.5225563909774437,0.9986,3.16,0.5,0.19999999999999987,5,0
15,8.9,0.62,0.19,3.9,0.046,0.6578947368421053,0.5338345864661654,0.9986,3.17,0.5,0.19999999999999987,5,0
16,8.5,0.28,0.56,1.8,0.092,0.4473684210526316,0.36466165413533835,0.9969,3.3,0.75,0.4166666666666667,7,0
